trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
124,False,"{'a': 0.15, 'e': 0.37999999999999945}",25,13,15.559566600359766,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.15, 'e': 0.37499999999999944}",20,9,-33.749812776524955,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
126,False,"{'a': 0.15, 'e': 0.36999999999999944}",25,0,-56.114081824129215,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
127,False,"{'a': 0.15, 'e': 0.36499999999999944}",25,6,-43.740885285780955,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 1}",1
128,False,"{'a': 0.15, 'e': 0.35999999999999943}",20,0,-15.426961376214702,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
129,False,"{'a': 0.15, 'e': 0.3549999999999994}",20,7,-16.498450824550932,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 0}",1
130,False,"{'a': 0.15, 'e': 0.3499999999999994}",20,14,-0.5077964981112366,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
131,False,"{'a': 0.15, 'e': 0.3449999999999994}",30,0,-29.953160066911185,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
132,False,"{'a': 0.15, 'e': 0.3399999999999994}",20,4,-3.4786800508241793,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
133,False,"{'a': 0.15, 'e': 0.3349999999999994}",30,13,8.855347413246875,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
134,False,"{'a': 0.15, 'e': 0.3299999999999994}",25,8,-12.824779094360244,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 0}",1
135,False,"{'a': 0.15, 'e': 0.3249999999999994}",25,0,9.687963368687647,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
136,False,"{'a': 0.15, 'e': 0.3199999999999994}",20,7,24.518564766670128,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.15, 'e': 0.3149999999999994}",25,13,-0.7789454301963561,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
138,False,"{'a': 0.15, 'e': 0.3099999999999994}",25,13,1.4288352642285416,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
139,False,"{'a': 0.15, 'e': 0.3049999999999994}",20,11,16.739453309099012,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.15, 'e': 0.2999999999999994}",25,7,-20.854483684057236,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
141,False,"{'a': 0.15, 'e': 0.2949999999999994}",25,15,8.282055715780956,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.15, 'e': 0.28999999999999937}",20,0,-4.257933554338833,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
143,False,"{'a': 0.15, 'e': 0.28499999999999936}",20,7,-45.33730940441374,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
144,False,"{'a': 0.15, 'e': 0.27999999999999936}",20,7,-17.66603141004305,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
145,False,"{'a': 0.15, 'e': 0.27499999999999936}",25,17,4.387926969528964,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.15, 'e': 0.26999999999999935}",25,10,20.96045015622384,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.15, 'e': 0.26499999999999935}",25,19,10.600440369181237,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
